Title,Studio,Weekend Gross,Theater Count,Average,Total Gross,Budget
Horn From the Heart,Abr.,"$1,272",2,$636,"$25,372",-
A Beautiful Planet,Imax,"$1,246",6,$208,"$15,374,365",-
Life & Nothing More,CFI,"$1,219",3,$406,"$15,000",-
Gosnell: The Trial of America's Biggest Serial Killer,GVN,"$1,200",8,$150,"$3,654,468",-
The Wife,SPC,"$1,061",6,$177,"$7,788,490",-
On Her Shoulders,Osci.,"$1,008",3,$336,"$27,767",-
Weed the People,Abr.,$986,2,$493,"$11,001",-
Studio 54,Zeit.,$832,1,$832,"$184,429",-
Liyana,Abr.,$633,1,$633,"$16,125",-
The Fog (2018 re-release),Rialto,$492,1,$492,"$69,521",-
Memoir of War,MBox,$379,1,$379,"$102,624",-
Under the Sea 3D,WB,$374,4,$94,"$35,987,614",-
Born to Be Wild (IMAX),WB,$308,4,$77,"$25,790,197",-
Narcissister Organ Player,FM,$305,2,$153,"$13,203",-
Journey to the South Pacific,Imax,$220,1,$220,"$7,641,704",-
Invisible Hands,FRun,$210,1,$210,"$1,034",-
Of Fathers and Sons,KL,$130,1,$130,"$6,127",-
Hubble 3D,WB,$113,6,$19,"$52,353,056",-
Weightless,Great Point,$93,3,$31,"$3,904",-
"Hale County This Morning, This Evening",CGld,$44,1,$44,"$35,619",-
